independence_block_id,disease_context,source_accession_or_id,target_accession_or_id,layer,nominal_N_source,nominal_N_target,platform_source,platform_target,resource,named_dataset_reused_in_census,lung_or_colorectal_used,duplicate_dependency_control,status,evidence_url,notes
BR02,breast cancer,GSE5460,GSE20711,bulk transcriptomics,127,88,GPL570 HG-U133 Plus 2.0,Affymetrix family,MetaGxBreast / published curated breast compendium,NO,NO,MetaGxBreast supports removeDuplicates=TRUE using expression-profile duplicate detection; final M6 audit freezes the deduplicated participant set and dependency graph.,CAPACITY_SCREENED_NOT_FINAL_ELIGIBLE,https://aacrjournals.org/clincancerres/article/22/2/337/175104/Subtype-Specific-Metagene-Based-Prediction-of,N is the suitable/usable sample count in the curated breast compendium (GSE48091 count from GEO/MetaGxBreast).
BR03,breast cancer,GSE12276,GSE2990,bulk transcriptomics,204,84,Affymetrix U133A/U133 Plus 2.0 family (resource-harmonized; exact GPL frozen at M6),Affymetrix U133A/U133 Plus 2.0 family (resource-harmonized; exact GPL frozen at M6),MetaGxBreast / published curated breast compendium,NO,NO,MetaGxBreast supports removeDuplicates=TRUE using expression-profile duplicate detection; final M6 audit freezes the deduplicated participant set and dependency graph.,CAPACITY_SCREENED_NOT_FINAL_ELIGIBLE,https://aacrjournals.org/clincancerres/article/22/2/337/175104/Subtype-Specific-Metagene-Based-Prediction-of,N is the suitable/usable sample count in the curated breast compendium (GSE48091 count from GEO/MetaGxBreast).
BR04,breast cancer,GSE21653,GSE5327,bulk transcriptomics,266,58,Affymetrix U133A/U133 Plus 2.0 family (resource-harmonized; exact GPL frozen at M6),Affymetrix U133A/U133 Plus 2.0 family (resource-harmonized; exact GPL frozen at M6),MetaGxBreast / published curated breast compendium,NO,NO,MetaGxBreast supports removeDuplicates=TRUE using expression-profile duplicate detection; final M6 audit freezes the deduplicated participant set and dependency graph.,CAPACITY_SCREENED_NOT_FINAL_ELIGIBLE,https://aacrjournals.org/clincancerres/article/22/2/337/175104/Subtype-Specific-Metagene-Based-Prediction-of,N is the suitable/usable sample count in the curated breast compendium (GSE48091 count from GEO/MetaGxBreast).
BR05,breast cancer,GSE2034,GSE9195,bulk transcriptomics,286,77,Affymetrix U133A/U133 Plus 2.0 family (resource-harmonized; exact GPL frozen at M6),Affymetrix U133A/U133 Plus 2.0 family (resource-harmonized; exact GPL frozen at M6),MetaGxBreast / published curated breast compendium,NO,NO,MetaGxBreast supports removeDuplicates=TRUE using expression-profile duplicate detection; final M6 audit freezes the deduplicated participant set and dependency graph.,CAPACITY_SCREENED_NOT_FINAL_ELIGIBLE,https://aacrjournals.org/clincancerres/article/22/2/337/175104/Subtype-Specific-Metagene-Based-Prediction-of,N is the suitable/usable sample count in the curated breast compendium (GSE48091 count from GEO/MetaGxBreast).
BR06,breast cancer,GSE7390,GSE12093,bulk transcriptomics,198,136,Affymetrix U133A/U133 Plus 2.0 family (resource-harmonized; exact GPL frozen at M6),Affymetrix U133A/U133 Plus 2.0 family (resource-harmonized; exact GPL frozen at M6),MetaGxBreast / published curated breast compendium,NO,NO,MetaGxBreast supports removeDuplicates=TRUE using expression-profile duplicate detection; final M6 audit freezes the deduplicated participant set and dependency graph.,CAPACITY_SCREENED_NOT_FINAL_ELIGIBLE,https://aacrjournals.org/clincancerres/article/22/2/337/175104/Subtype-Specific-Metagene-Based-Prediction-of,N is the suitable/usable sample count in the curated breast compendium (GSE48091 count from GEO/MetaGxBreast).
BR07,breast cancer,GSE11121,GSE17705,bulk transcriptomics,200,195,Affymetrix U133A/U133 Plus 2.0 family (resource-harmonized; exact GPL frozen at M6),Affymetrix U133A/U133 Plus 2.0 family (resource-harmonized; exact GPL frozen at M6),MetaGxBreast / published curated breast compendium,NO,NO,MetaGxBreast supports removeDuplicates=TRUE using expression-profile duplicate detection; final M6 audit freezes the deduplicated participant set and dependency graph.,CAPACITY_SCREENED_NOT_FINAL_ELIGIBLE,https://aacrjournals.org/clincancerres/article/22/2/337/175104/Subtype-Specific-Metagene-Based-Prediction-of,N is the suitable/usable sample count in the curated breast compendium (GSE48091 count from GEO/MetaGxBreast).
BR08,breast cancer,GSE6532,GSE16446,bulk transcriptomics,277,120,Affymetrix U133A/U133 Plus 2.0 family (resource-harmonized; exact GPL frozen at M6),Affymetrix U133A/U133 Plus 2.0 family (resource-harmonized; exact GPL frozen at M6),MetaGxBreast / published curated breast compendium,NO,NO,MetaGxBreast supports removeDuplicates=TRUE using expression-profile duplicate detection; final M6 audit freezes the deduplicated participant set and dependency graph.,CAPACITY_SCREENED_NOT_FINAL_ELIGIBLE,https://aacrjournals.org/clincancerres/article/22/2/337/175104/Subtype-Specific-Metagene-Based-Prediction-of,N is the suitable/usable sample count in the curated breast compendium (GSE48091 count from GEO/MetaGxBreast).
BR09,breast cancer,GSE25055,GSE25065,bulk transcriptomics,310,198,Affymetrix U133A/U133 Plus 2.0 family (resource-harmonized; exact GPL frozen at M6),Affymetrix U133A/U133 Plus 2.0 family (resource-harmonized; exact GPL frozen at M6),MetaGxBreast / published curated breast compendium,NO,NO,MetaGxBreast supports removeDuplicates=TRUE using expression-profile duplicate detection; final M6 audit freezes the deduplicated participant set and dependency graph.,CAPACITY_SCREENED_NOT_FINAL_ELIGIBLE,https://aacrjournals.org/clincancerres/article/22/2/337/175104/Subtype-Specific-Metagene-Based-Prediction-of,N is the suitable/usable sample count in the curated breast compendium (GSE48091 count from GEO/MetaGxBreast).
BR10,breast cancer,GSE41998,E-MTAB-365,bulk transcriptomics,279,243,GPL571 HG-U133A 2.0,Affymetrix family,MetaGxBreast / published curated breast compendium,NO,NO,MetaGxBreast supports removeDuplicates=TRUE using expression-profile duplicate detection; final M6 audit freezes the deduplicated participant set and dependency graph.,CAPACITY_SCREENED_NOT_FINAL_ELIGIBLE,https://aacrjournals.org/clincancerres/article/22/2/337/175104/Subtype-Specific-Metagene-Based-Prediction-of,N is the suitable/usable sample count in the curated breast compendium (GSE48091 count from GEO/MetaGxBreast).
PA01,pancreatic cancer,ICGCMICRO,KIRBY,bulk transcriptomics,265,51,MetaGxPancreas GEX platform (exact platform recorded/frozen at M6),MetaGxPancreas GEX platform (exact platform recorded/frozen at M6),MetaGxPancreas,NO,NO,MetaGxPancreas supports removeDuplicates=TRUE; ICGCSEQ is excluded here because the package documents participant overlap with ICGCMICRO.,CAPACITY_SCREENED_NOT_FINAL_ELIGIBLE,https://bioconductor.statistik.tu-dortmund.de/packages/3.23/data/experiment/vignettes/MetaGxPancreas/inst/doc/MetaGxPancreas.html,Counts from current MetaGxPancreas vignette; ICGCSEQ intentionally not used.
PA02,pancreatic cancer,PCSI,CHEN,bulk transcriptomics,210,63,MetaGxPancreas GEX platform (exact platform recorded/frozen at M6),MetaGxPancreas GEX platform (exact platform recorded/frozen at M6),MetaGxPancreas,NO,NO,MetaGxPancreas supports removeDuplicates=TRUE; ICGCSEQ is excluded here because the package documents participant overlap with ICGCMICRO.,CAPACITY_SCREENED_NOT_FINAL_ELIGIBLE,https://bioconductor.statistik.tu-dortmund.de/packages/3.23/data/experiment/vignettes/MetaGxPancreas/inst/doc/MetaGxPancreas.html,Counts from current MetaGxPancreas vignette; ICGCSEQ intentionally not used.
PA03,pancreatic cancer,BAUER,YANG,bulk transcriptomics,195,69,MetaGxPancreas GEX platform (exact platform recorded/frozen at M6),MetaGxPancreas GEX platform (exact platform recorded/frozen at M6),MetaGxPancreas,NO,NO,MetaGxPancreas supports removeDuplicates=TRUE; ICGCSEQ is excluded here because the package documents participant overlap with ICGCMICRO.,CAPACITY_SCREENED_NOT_FINAL_ELIGIBLE,https://bioconductor.statistik.tu-dortmund.de/packages/3.23/data/experiment/vignettes/MetaGxPancreas/inst/doc/MetaGxPancreas.html,Counts from current MetaGxPancreas vignette; ICGCSEQ intentionally not used.
PA04,pancreatic cancer,TCGA,JANKY,bulk transcriptomics,146,118,MetaGxPancreas GEX platform (exact platform recorded/frozen at M6),MetaGxPancreas GEX platform (exact platform recorded/frozen at M6),MetaGxPancreas,NO,NO,MetaGxPancreas supports removeDuplicates=TRUE; ICGCSEQ is excluded here because the package documents participant overlap with ICGCMICRO.,CAPACITY_SCREENED_NOT_FINAL_ELIGIBLE,https://bioconductor.statistik.tu-dortmund.de/packages/3.23/data/experiment/vignettes/MetaGxPancreas/inst/doc/MetaGxPancreas.html,Counts from current MetaGxPancreas vignette; ICGCSEQ intentionally not used.
PR01,prostate cancer,GSE157548 / weiner,GSE14206 / kunderfranco,bulk transcriptomics,838,53,curatedPCaData GEX,curatedPCaData GEX,curatedPCaData,NO,NO,No accession is reused in this desk-screen matching. Cross-study participant/publication overlap is not assumed absent; it is an explicit final M6 exclusion step before any H2 outcome is inspected.,CAPACITY_SCREENED_NOT_FINAL_ELIGIBLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC10322899/,N is disease-relevant primary/GEX capacity from curatedPCaData; exact GEX-primary intersection is verified before final eligibility.
PR02,prostate cancer,TCGA-PRAD / tcga,GSE8218 / wang,bulk transcriptomics,461,60,RNA-seq / curatedPCaData GEX,Affymetrix GEX,curatedPCaData,NO,NO,No accession is reused in this desk-screen matching. Cross-study participant/publication overlap is not assumed absent; it is an explicit final M6 exclusion step before any H2 outcome is inspected.,CAPACITY_SCREENED_NOT_FINAL_ELIGIBLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC10322899/,N is disease-relevant primary/GEX capacity from curatedPCaData; exact GEX-primary intersection is verified before final eligibility.
PR03,prostate cancer,GSE119616 / kim,GSE6919 / chandran,bulk transcriptomics,266,65,curatedPCaData GEX,GPL8300 HG-U95Av2,curatedPCaData,NO,NO,No accession is reused in this desk-screen matching. Cross-study participant/publication overlap is not assumed absent; it is an explicit final M6 exclusion step before any H2 outcome is inspected.,CAPACITY_SCREENED_NOT_FINAL_ELIGIBLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC10322899/,N is disease-relevant primary/GEX capacity from curatedPCaData; exact GEX-primary intersection is verified before final eligibility.
PR04,prostate cancer,ICGC PRAD-CA / icgcca,prad_eururol_2017 / ren,bulk transcriptomics,213,65,curatedPCaData GEX,curatedPCaData GEX,curatedPCaData,NO,NO,No accession is reused in this desk-screen matching. Cross-study participant/publication overlap is not assumed absent; it is an explicit final M6 exclusion step before any H2 outcome is inspected.,CAPACITY_SCREENED_NOT_FINAL_ELIGIBLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC10322899/,N is disease-relevant primary/GEX capacity from curatedPCaData; exact GEX-primary intersection is verified before final eligibility.
PR05,prostate cancer,GSE21032 / taylor,GSE6956 / wallace,bulk transcriptomics,179,69,curatedPCaData GEX,curatedPCaData GEX,curatedPCaData,NO,NO,No accession is reused in this desk-screen matching. Cross-study participant/publication overlap is not assumed absent; it is an explicit final M6 exclusion step before any H2 outcome is inspected.,CAPACITY_SCREENED_NOT_FINAL_ELIGIBLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC10322899/,N is disease-relevant primary/GEX capacity from curatedPCaData; exact GEX-primary intersection is verified before final eligibility.
PR06,prostate cancer,GSE134051 / friedrich,GSE25136 / sun,bulk transcriptomics,164,79,custom Agilent array,curatedPCaData GEX,curatedPCaData,NO,NO,No accession is reused in this desk-screen matching. Cross-study participant/publication overlap is not assumed absent; it is an explicit final M6 exclusion step before any H2 outcome is inspected.,CAPACITY_SCREENED_NOT_FINAL_ELIGIBLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC10322899/,N is disease-relevant primary/GEX capacity from curatedPCaData; exact GEX-primary intersection is verified before final eligibility.
PR07,prostate cancer,GSE18655 / barwick,GSE2109 prostate subset / igc,bulk transcriptomics,146,83,custom DASL array,curatedPCaData GEX,curatedPCaData,NO,NO,No accession is reused in this desk-screen matching. Cross-study participant/publication overlap is not assumed absent; it is an explicit final M6 exclusion step before any H2 outcome is inspected.,CAPACITY_SCREENED_NOT_FINAL_ELIGIBLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC10322899/,N is disease-relevant primary/GEX capacity from curatedPCaData; exact GEX-primary intersection is verified before final eligibility.
